systemTimeStamp,timeStartup,timeGps,timeSyncIn,timeGpsPps,utcYear,utcMonth,utcDay,utcHour,utcMinute,utcSecond,utcFracsec,gps1UtcYear,gps1UtcMonth,gps1UtcDay,gps1UtcHour,gps1UtcMinute,gps1UtcSecond,gps1UtcFracsec,gnss1NumSats,gnss1Fix,gnss1PosLat,gnss1PosLon,gnss1PosAlt,gnss1PosEcefX,gnss1PosEcefY,gnss1PosEcefY,gnss1PosUncertaintyN,gnss1PosUncertaintyE,gnss1PosUncertaintyD,yaw,pitch,roll,quatX,quatY,quatZ,quatW,insStatus,lat,lon,alt,posEcefX,posEcefY,posEcefZ,posU
779000675180,784826257000,1422575161404340224,784826257000,404349000,25,2,2,23,45,43,405,25,2,2,23,45,43,200,6,3,32.865938,-117.254198,-24.763000,-2455715.105110,-4767207.313445,3441466.373077,12.386772,13.309959,23.655338,-57.306561,-0.347891,-2.568184,-0.021121,0.008082,-0.479445,0.877280,133,32.865932,-117.254203,-29.837924,-2455713.743139,-4767203.748691,3441463.156720,3.644003
779025467236,784851257000,1422575161429340416,784851257000,429349000,25,2,2,23,45,43,430,25,2,2,23,45,43,200,6,3,32.865938,-117.254198,-24.763000,-2455715.105110,-4767207.313445,3441466.373077,12.386772,13.309959,23.655338,-57.312054,-0.348875,-2.568433,-0.021126,0.008077,-0.479487,0.877257,133,32.865932,-117.254203,-29.865263,-2455713.736991,-4767203.728669,3441463.138249,3.645735
779050293328,784876257000,1422575161454340096,784876257000,454349000,25,2,2,23,45,43,455,25,2,2,23,45,43,400,6,3,32.865938,-117.254198,-24.865000,-2455715.035110,-4767207.233445,3441466.353077,12.437002,13.316588,23.661083,-57.313610,-0.352612,-2.566580,-0.021128,0.008041,-0.479500,0.877251,32901,32.865932,-117.254203,-29.688902,-2455713.781176,-4767203.895614,3441463.202206,3.621790
779075841495,784901257000,1422575161479340288,784901257000,479349000,25,2,2,23,45,43,480,25,2,2,23,45,43,400,6,3,32.865938,-117.254198,-24.865000,-2455715.035110,-4767207.233445,3441466.353077,12.437002,13.316588,23.661083,-57.315517,-0.355277,-2.563598,-0.021116,0.008008,-0.479515,0.877243,32901,32.865932,-117.254203,-29.715495,-2455713.775036,-4767203.876577,3441463.183748,3.623781
779100699236,784926257000,1422575161504340224,784926257000,504349000,25,2,2,23,45,43,505,25,2,2,23,45,43,400,6,3,32.865938,-117.254198,-24.865000,-2455715.035110,-4767207.233445,3441466.353077,12.437002,13.316588,23.661083,-57.317146,-0.356399,-2.562153,-0.021109,0.007994,-0.479528,0.877236,133,32.865932,-117.254203,-29.742372,-2455713.768889,-4767203.857251,3441463.165173,3.625454
779125428069,784951257000,1422575161529340160,784951257000,529349000,25,2,2,23,45,43,530,25,2,2,23,45,43,400,6,3,32.865938,-117.254198,-24.865000,-2455715.035110,-4767207.233445,3441466.353077,12.437002,13.316588,23.661083,-57.318562,-0.361797,-2.557351,-0.021095,0.007933,-0.479540,0.877231,133,32.865932,-117.254203,-29.769297,-2455713.762727,-4767203.837895,3441463.146557,3.627139
779149908810,784976257000,1422575161554340352,784976257000,554349000,25,2,2,23,45,43,555,25,2,2,23,45,43,400,6,3,32.865938,-117.254198,-24.865000,-2455715.035110,-4767207.233445,3441466.353077,12.437002,13.316588,23.661083,-57.320541,-0.362335,-2.555171,-0.021081,0.007920,-0.479555,0.877223,49285,32.865932,-117.254203,-29.796215,-2455713.756518,-4767203.818573,3441463.127941,3.628837
779175716236,785001257000,1422575161579340288,785001257000,579349000,25,2,2,23,45,43,580,25,2,2,23,45,43,400,6,3,32.865938,-117.254198,-24.865000,-2455715.035110,-4767207.233445,3441466.353077,12.437002,13.316588,23.661083,-57.323235,-0.362333,-2.555431,-0.021082,0.007921,-0.479576,0.877211,49285,32.865932,-117.254203,-29.823256,-2455713.750428,-4767203.799082,3441463.109248,3.630548
779200617698,785026257000,1422575161604340224,785026257000,604349000,25,2,2,23,45,43,605,25,2,2,23,45,43,400,6,3,32.865938,-117.254198,-24.865000,-2455715.035110,-4767207.233445,3441466.353077,12.437002,13.316588,23.661083,-57.327187,-0.368276,-2.550688,-0.021071,0.007857,-0.479608,0.877195,49285,32.865931,-117.254203,-29.850372,-2455713.744192,-4767203.779585,3441463.090526,3.632272
779226008421,785051257000,1422575161629340160,785051257000,629349000,25,2,2,23,45,43,630,25,2,2,23,45,43,400,6,3,32.865938,-117.254198,-24.865000,-2455715.035110,-4767207.233445,3441466.353077,12.437002,13.316588,23.661083,-57.330441,-0.373296,-2.546329,-0.021058,0.007801,-0.479634,0.877182,30853,32.865931,-117.254203,-29.877434,-2455713.738032,-4767203.760113,3441463.071817,3.634009
